
Stream stopped by user.
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.499 | 5  |    0.983   -0.087    0.209 |   -21.8   -75.9    53.9
   1.537 | 0  |    0.674   -0.036   -0.765 |  -177.8   -42.5  -156.9
   1.537 | 1  |         Comm Error         |            -           
   1.537 | 2  |    0.199   -0.968   -0.113 |   -96.2   -11.5   -56.0
   1.537 | 3  |         Comm Error         |            -           
   1.537 | 4  |         Comm Error         |            -           
   1.537 | 5  |    0.980   -0.088    0.213 |   -21.6   -75.9    53.7
   1.575 | 0  |    0.683   -0.032   -0.726 |  -178.3   -43.6  -156.4
   1.575 | 1  |         Comm Error         |            -           
   1.575 | 2  |    0.202   -0.966   -0.108 |   -96.2   -11.6   -55.9
   1.575 | 3  |         Comm Error         |            -           
   1.575 | 4  |         Comm Error         |            -           
   1.575 | 5  |    0.977   -0.087    0.210 |   -21.3   -75.8    53.5
   1.615 | 0  |    0.776    0.002   -0.858 |  -178.7   -45.3  -156.0
   1.615 | 1  |         Comm Error         |            -           
   1.615 | 2  |    0.197   -0.967   -0.109 |   -96.2   -11.7   -55.8
   1.615 | 3  |         Comm Error         |            -           
   1.615 | 4  |         Comm Error         |            -           
   1.615 | 5  |    0.979   -0.084    0.215 |   -21.0   -75.7    53.2
   1.652 | 0  |    0.724   -0.019   -0.645 |  -178.6   -47.7  -156.0
   1.652 | 1  |         Comm Error         |            -           
   1.652 | 2  |    0.198   -0.968   -0.110 |   -96.2   -11.7   -55.7
   1.652 | 3  |         Comm Error         |            -           
   1.652 | 4  |         Comm Error         |            -           
   1.652 | 5  |    0.980   -0.085    0.209 |   -20.7   -75.7    53.0
   1.691 | 0  |    0.733   -0.012   -0.582 |  -179.1   -49.7  -155.5
   1.691 | 1  |         Comm Error         |            -           
   1.691 | 2  |    0.196   -0.967   -0.110 |   -96.2   -11.7   -55.6
   1.691 | 3  |         Comm Error         |            -           
   1.691 | 4  |         Comm Error         |            -           
   1.691 | 5  |    0.976   -0.085    0.215 |   -20.3   -75.7    52.7
   1.730 | 0  |    0.776    0.001   -0.638 |  -179.6   -49.5  -154.9
   1.730 | 1  |         Comm Error         |            -           
   1.730 | 2  |    0.194   -0.970   -0.111 |   -96.1   -11.7   -55.5
   1.730 | 3  |         Comm Error         |            -           
   1.730 | 4  |         Comm Error         |            -           
   1.730 | 5  |    0.969   -0.084    0.213 |   -20.1   -75.6    52.5
   1.768 | 0  |    0.792    0.011   -0.700 |   179.9   -49.2  -154.2
   1.768 | 1  |         Comm Error         |            -           
   1.768 | 2  |    0.195   -0.971   -0.114 |   -96.2   -11.8   -55.3
   1.768 | 3  |         Comm Error         |            -           
   1.768 | 4  |         Comm Error         |            -           
   1.768 | 5  |    0.972   -0.089    0.210 |   -20.1   -75.6    52.6
   1.807 | 0  |    0.767    0.020   -0.637 |   179.3   -49.9  -153.6
   1.807 | 1  |         Comm Error         |            -           
   1.807 | 2  |    0.209   -0.974   -0.105 |   -96.2   -11.8   -55.3
   1.807 | 3  |         Comm Error         |            -           
   1.807 | 4  |         Comm Error         |            -           
   1.807 | 5  |    0.976   -0.085    0.213 |   -20.0   -75.6    52.6
   1.845 | 0  |    0.770    0.024   -0.618 |   178.7   -50.3  -153.1
   1.845 | 1  |         Comm Error         |            -           
   1.845 | 2  |    0.209   -0.974   -0.108 |   -96.2   -11.8   -55.3
   1.845 | 3  |         Comm Error         |            -           
   1.845 | 4  |         Comm Error         |            -           
   1.845 | 5  |    0.976   -0.076    0.211 |   -19.5   -75.7    52.2
   1.883 | 0  |    0.768    0.015   -0.592 |   178.6   -50.8  -153.0
   1.883 | 1  |         Comm Error         |            -           
   1.883 | 2  |    0.207   -0.970   -0.104 |   -96.2   -11.9   -55.4
   1.883 | 3  |         Comm Error         |            -           
   1.883 | 4  |         Comm Error         |            -           
   1.883 | 5  |    0.977   -0.075    0.211 |   -18.8   -75.8    51.6
   1.921 | 0  |    0.770    0.019   -0.612 |   178.5   -51.2  -152.9
   1.921 | 1  |         Comm Error         |            -           
   1.921 | 2  |    0.210   -0.952   -0.104 |   -96.2   -11.9   -55.5
   1.921 | 3  |         Comm Error         |            -           
   1.921 | 4  |         Comm Error         |            -           
   1.921 | 5  |    0.974   -0.076    0.223 |   -18.4   -75.8    51.2
   1.958 | 0  |    0.779    0.016   -0.613 |   178.4   -51.3  -153.0
   1.958 | 1  |         Comm Error         |            -           
   1.958 | 2  |    0.198   -0.957   -0.117 |   -96.3   -11.9   -55.6
   1.958 | 3  |         Comm Error         |            -           
   1.958 | 4  |         Comm Error         |            -           
   1.958 | 5  |    0.978   -0.085    0.223 |   -18.2   -75.7    51.0
   1.998 | 0  |    0.792    0.007   -0.641 |   178.7   -51.0  -153.3
   1.998 | 1  |         Comm Error         |            -           
   1.998 | 2  |    0.189   -0.956   -0.128 |   -96.5   -11.8   -55.6
   1.998 | 3  |         Comm Error         |            -           
   1.998 | 4  |         Comm Error         |            -           
