
IMU Data Stream (50Hz)

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
    1.886 | 2  |    0.505    0.744    0.108 |     84.6    -55.9     28.9
    1.886 | 3  |    0.994   -0.046    0.259 |     -5.0    -73.6   -167.7
    1.886 | 4  |    1.002   -0.023    0.008 |    -67.3    -85.1   -139.6
    1.886 | 5  |    1.011   -0.094   -0.100 |   -145.1    -80.5    -29.0
    1.920 | 1  |    0.565   -0.682    0.092 |    -73.3    -54.4     66.6
    1.920 | 2  |    0.475    0.653    0.108 |     84.2    -55.9     30.8
    1.920 | 3  |    0.982   -0.059    0.252 |     -6.2    -73.7   -166.7
    1.920 | 4  |    1.006   -0.024    0.010 |    -65.4    -85.1   -142.1
    1.920 | 5  |    1.012   -0.084   -0.128 |   -144.9    -80.5    -28.9
    1.954 | 1  |    0.543   -0.593    0.129 |    -71.2    -54.9     63.7
    1.954 | 2  |    0.603    0.502    0.091 |     82.5    -56.6     33.2
    1.954 | 3  |    0.965   -0.056    0.273 |     -7.3    -73.7   -165.7
    1.954 | 4  |    1.000   -0.020    0.011 |    -62.4    -85.1   -147.2
    1.954 | 5  |    1.028   -0.084   -0.138 |   -145.5    -80.4    -28.3
    1.989 | 1  |    0.604   -0.554    0.153 |    -68.1    -55.5     59.9
    1.989 | 2  |    0.496    0.472    0.173 |     77.7    -57.0     39.1
    1.989 | 3  |    0.973   -0.034    0.298 |     -7.6    -73.5   -165.4
    1.989 | 4  |    1.010   -0.036    0.003 |    -63.3    -85.1   -146.6
    1.989 | 5  |    1.020   -0.083   -0.137 |   -145.9    -80.2    -27.7
    2.023 | 1  |    0.498   -0.439    0.200 |    -62.2    -55.4     52.8
    2.023 | 2  |    0.258    0.428    0.165 |     72.6    -53.6     45.6
    2.023 | 3  |    0.997   -0.035    0.271 |     -7.7    -73.4   -165.2
    2.023 | 4  |    1.006   -0.018   -0.003 |    -66.6    -85.1   -142.5
    2.023 | 5  |    1.016   -0.086   -0.137 |   -146.3    -80.1    -27.3
    2.057 | 1  |    0.497   -0.351    0.240 |    -57.7    -54.9     47.7
    2.057 | 2  |    0.529    0.333    0.147 |     73.1    -53.5     45.3
    2.057 | 3  |    0.986   -0.031    0.251 |     -8.0    -73.5   -164.8
    2.057 | 4  |    1.007   -0.028    0.007 |    -67.2    -85.0   -142.2
    2.057 | 5  |    1.017   -0.090   -0.127 |   -146.1    -80.0    -27.2
    2.091 | 1  |    0.533   -0.323    0.250 |    -53.8    -54.7     43.2
    2.091 | 2  |    0.717    0.360    0.178 |     73.5    -55.4     45.1
    2.091 | 3  |    0.956   -0.018    0.249 |     -7.9    -73.8   -164.8
    2.091 | 4  |    1.008   -0.022    0.012 |    -66.2    -85.0   -143.2
    2.091 | 5  |    1.018   -0.081   -0.120 |   -146.0    -80.0    -27.1
    2.126 | 1  |    0.618   -0.301    0.296 |    -52.5    -54.8     41.7
    2.126 | 2  |    0.581    0.420    0.218 |     70.7    -55.7     46.7
    2.126 | 3  |    0.951   -0.010    0.265 |     -7.4    -73.8   -165.3
    2.126 | 4  |    1.001   -0.030    0.006 |    -65.8    -85.0   -144.1
    2.126 | 5  |    1.019   -0.089   -0.147 |   -146.7    -79.9    -26.1
    2.160 | 1  |    0.673   -0.295    0.325 |    -50.9    -55.0     39.4
    2.160 | 2  |    0.662    0.414    0.173 |     70.3    -56.7     45.0
    2.160 | 3  |    0.958   -0.015    0.266 |     -6.5    -73.8   -166.1
    2.160 | 4  |    1.015    0.001    0.005 |    -63.7    -85.1   -144.9
    2.160 | 5  |    1.014   -0.080   -0.146 |   -147.5    -79.7    -25.1
    2.194 | 1  |    0.715   -0.312    0.345 |    -50.0    -55.2     38.9
    2.194 | 2  |    0.869    0.384    0.172 |     72.6    -61.0     38.4
    2.194 | 3  |    0.979   -0.018    0.249 |     -5.9    -74.0   -166.5
    2.194 | 4  |    1.003   -0.027   -0.013 |    -66.4    -85.0   -141.6
    2.194 | 5  |    1.012   -0.092   -0.130 |   -147.6    -79.6    -24.7
    2.229 | 1  |    0.859   -0.321    0.373 |    -50.0    -55.8     39.0
    2.229 | 2  |    0.892    0.330    0.009 |     77.8    -65.0     29.5
    2.229 | 3  |    0.991   -0.025    0.247 |     -5.2    -74.4   -166.9
    2.229 | 4  |    1.012   -0.018    0.001 |    -67.4    -85.1   -139.2
    2.229 | 5  |    1.008   -0.082   -0.128 |   -147.2    -79.5    -24.4
    2.263 | 1  |    0.899   -0.314    0.414 |    -48.8    -56.3     37.8
    2.263 | 2  |    1.184    0.266   -0.163 |     86.3    -69.8     12.2
    2.263 | 3  |    0.986   -0.028    0.249 |     -4.9    -74.6   -166.9
